职位名称,职位类别,招聘人数,工作地点,发布时间,详细链接,工作职责,工作要求
23518-商业分析经理,产品/项目类,1,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=29454&keywords=&tid=0&lid=0,"1. 1、跟踪腾讯移动游戏业务线发展，对相关产品、用户、商业数据等维度进行评估分析；
2. 2、结合敏锐的市场洞察，分析与评估手游产品渠道业务，输出策略建议并推动落地；
3. 3、监测行业动态，输出分析报告，为游戏渠道业务策略制定提供决策支持；
4. 4、结合行业发展及经营策略，分析、拟定所在部门游戏渠道业务发展战略，供管理层决策；
","1. 1、三年以上游戏渠道分析、策略研究或战略规划工作经验；
2. 2、热爱游戏行业，愿意长期从事游戏行业的市场分析和策略研究工作；
3. 3、优秀的分析及解决问题能力，良好的沟通，人际交往能力，以及团队合作精神；
4. 4、出色的办公软件使用能力，PPT撰写及excel建模能力；
5. 5、TOP咨询公司、大型企业战略部门、游戏行业渠道研究优先；
6. 6、本科以上学历，英语流利；
"
23518-移动游戏渠道运营经理（手Q）,产品/项目类,2,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=29451&keywords=&tid=0&lid=0,"1. 与手Q平台对接，负责重点项目和内部渠道合作工作的策略规划，并能有效跟进策略落地，合理调配推广资源；
2. 基于项目运营需求，每月制定新进KPI并落实和跟进执行；
3. 根据产品特性，结合平台及项目需求制定特色合作活动策略，并推动合作落地。
","1. 3年以上游戏行业市场和运营工作经验；
2. 有敏锐的市场触觉，掌握一定的用户研究方法；
3. 较强的逻辑思维能力和写总结沉淀能力；
4. 良好的沟通能力和协作意识，抗压能力强；
5. 具备一定的数据分析基础，具有良好沟通能力，能快速抓到重点和领悟事情；
6. 对手机游戏有强烈的热情。
"
21759-塔防类手游主美,设计类,1,上海,2017-08-22,http://hr.tencent.com/position_detail.php?id=30021&keywords=&tid=0&lid=0,"1. 主导项目的美术开发，制定合理的开发计划，打通开发管线； 整合各个模块美术资源，把控整体美术表现； 负责项目的梯队建设，并能带领美术团队高效完成任务，打磨精品化产品。
","1. 3年以上游戏美术资源开发管理经验，完整参与过至少一款游戏的美术资源外包沟通管理结算工作； 
2. ●扎实的美学修养和优秀而广泛的审美能力，对用户、市场和流行趋势有自己的理解和分析能力，能分解梳理不同美术风格其中的关键性设计要素并具备准确传达给他人的能力； 
3. ●广泛的业界人际关系和人脉，优秀的沟通能力，对于不同的业界牛人的风格擅长和项目适配度具备非凡的判断能力和说服能力 
4. ●游戏产品的开发经验和阅历丰富，在进度管理和美术资源外包流程模块具备独到见解和丰富的工作经验，执行力强，针对不同环境善用不同管理技巧，熟悉各种游戏类别的美术资源管理和协调工作重点，能抓住制约时间、品质、成本的核心平衡点，有效通过管理和沟通手段来进行协调解决相应问题。 
5. ●热爱生活热爱游戏热爱管理，极强的责任心和对游戏资源管理工作的认同感，精于沟通和勤于提升自我的综合能力，抗压性强，以确保项目能够优质准时完成为己任。""
"
TEG05-后台开发工程师（深圳）,技术类,2,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=30023&keywords=&tid=0&lid=0,"1. 1、负责大数据处理系统的架构设计，开发及维护工作；
2. 2、负责后台应用服务的架构设计、开发、优化和运营工作。
","1. 1、具备大容量、高性能复杂系统的设计和架构能力；
2. 2、能够快速根据需求完成系统设计和开发，有良好的团队合作意识，能适应高强度的开发节奏；
3. 3、出色的技术问题解决能力；
4. 4、本科及以上学历，计算机相关专业；
5. 5、2年以上C/C++开发经验，精通C/C++程序设计和开发； 
6. 6、精通Unix/Linux网络编程、数据结构和算法；
7. 7、熟悉tcp/ip协议以及后台服务器程序开发调试；
8. 8、熟悉常用的SQL、NoSQL数据库；
"
22087-商业化制片人（北京）,内容编辑类,2,北京,2017-08-22,http://hr.tencent.com/position_detail.php?id=30039&keywords=&tid=0&lid=0,"1. 独立撰写客户策划方案并提案；
2. 根据品牌特点与项目结合进行娱乐、体育跨界整合营销专案；
3. 挖掘项目创意点配合支持招商并监督项目执行；
4. 有效沟通，面向客户、协同部门及合作团队等，解决项目进程的问题
","1. 本科以上学历；
2. 具备体育/娱乐营销或广告/公关行业2年以上客户服务经验，拥有制片管理经验和体育娱乐跨界思维，能够独立运行项目，包括主题策划、方案设计、内容整合、执行及验收评估；
3. 具备良好的客户服务意识及沟通能力，良好的逻辑思维及策划能力，能够独立撰写及策划商业方案；
4. 精通PPT，Excel等Office软件，有一定英语沟通能力，热爱体育；
5. 熟知商业制片的工作内容与流程
6. 拥有相关行业资源者优先
"
18402-移动游戏渠道运营经理（微信）,产品/项目类,2,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=29450&keywords=&tid=0&lid=0,"1. 与微信平台对接，负责重点项目和内部渠道合作工作的策略规划，并能有效跟进策略落地，合理调配推广资源；
2. 基于项目运营需求，每月制定新进KPI并落实和跟进执行；
3. 根据产品特性，结合平台及项目需求制定特色合作活动策略，并推动合作落地；
","1. 3年以上游戏行业市场和运营工作经验；
2. 有敏锐的市场触觉，掌握一定的用户研究方法；
3. 较强的逻辑思维能力和写总结沉淀能力；
4. 良好的沟通能力和协作意识，抗压能力强；
5. 具备一定的数据分析基础，具有良好沟通能力，能快速抓到重点和领悟事情；
6. 对手机游戏有强烈的热情。
"
TEG02-内核网络研发工程师（深圳）,技术类,1,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=24706&keywords=&tid=0&lid=0,"1. 负责虚拟网络技术研发，主要包括分析业务应用场景、制定虚拟网络解决方案、完成开发实现并与业务系统对接；
2. 负责推广虚拟网络技术在公有云及私有云环境落地应用；
3. 负责研究软件OVS及智能网卡卸载方案的研究与跟进；
4. 负责业界相关技术方案的跟进，评估其可行性、稳定性。
","1. 本科（含）以上， 5年以上工作经验；
2. 熟悉Linux操作系统下C语言开发, 能运用常见工具定位调试问题代码；
3. 精通Linux下的虚拟交换及相关技术, 如Bridge、OVS、virtio、iptables、iprouting、tc、qemu、virsh、netfilter等，熟悉Overlay技术，如Vxlan、GRE等；
4. 熟悉TCP/IP协议，熟悉二层三层网络协议，熟悉IPSec、NAT原理，熟悉常用路由交换协议（OSPF、BGP、ISIS等），并有较强的故障分析排查能力和丰富的处理经验；
5. 对新技术敏感，求知欲强，能快速学习并具备较强的技术领悟能力；
6. 团队合作能力，良好的沟通能力与口头、书面表达能力，严谨的工作态度与高质量意识，良好的抗压能力；
7. 思维缜密，逻辑性强，沟通能力强，良好的团队协作精神。
"
OMG193-市场传播专员（北京）,市场类,1,北京,2017-08-22,http://hr.tencent.com/position_detail.php?id=30037&keywords=&tid=0&lid=0,"1. 负责腾讯平台优秀案例B2B推广相关工作, 促进达成商业目标；深入了解行业脉动及需求, 策划推广提升腾讯广告营销能力在广告主及代理商中的价值展现；掌握市场及竟品动态, 并且主动提出分析和因应策略
","1. 本科及以上学历；擅长独立撰写行业营销类稿件或内容，3年以上营销或广告传播类工作经验，具有互联网行业市场推广相关行业经验优先考虑；软件统吃小能手、能吃苦耐劳、有团队合作精神；逻辑清晰, 具备策略思考及倾听,沟通与解决问题的能力；对市场推广工作有热情, 自我要求高, 并且乐于不断激发新创意；积极主动, 有足够的抗压性和正向的工作态度
"
15614-手游RPG资深后台开发（上海）,技术类,1,上海,2017-08-22,http://hr.tencent.com/position_detail.php?id=26333&keywords=&tid=0&lid=0,"1. 基于Linux平台进行大型多人在线移动RPG游戏服务器的开发；
2. 负责游戏后台分布式系统中的设计，实现及调优工作。
","1. 本科及以上学历，四年以上相关工作经验，有完整的移动RPG游戏的后台开发经验。
2. 精通C/C++语言；
3. 精通Unix/Linux开发、调试环境；
4. 扎实的计算机体系结构、算法与数据结构、操作系统原理等基础知识功底；
5. 熟练掌握面向对象软件设计思想；
6. 熟悉网络编程以及数据库使用；
7. 对海量、高性能、分布式开发有经验者优先；
8. 具备优秀的分析解决问题能力与优秀的沟通协作能力。
"
21645-法律顾问-- 社交网络平台（SNG）（深圳）,职能类,1,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=30030&keywords=&tid=0&lid=0,"1. 负责起草、审核各类合同，参与合同商务谈判，为各类商务合作提出建设性意见和做好合同风险把控；
2. 负责互联网产品的法律风险管控，包括日常合规咨询、产品风险评估、风控流程制建设、法律课程开发及培等；
3. 负责互联网产品的各类投诉、法律函件的法律分析和处理以及相关流程制度完善；
4. 跟踪各类互联网产品及行业动态，政府监管政策，识别合规风险，开展合规检查和培训，督导业务合规运营。
","1. 本科及以上学历，法律专业，通过国家司法考试； 
2. 5年以上大型律师事所务或大中型公司工作经验，有较强的综合法务管理能力及项目管理和实施的能力； 
3. 细心，法律敏感性强，个性开朗，有开拓精神，执行力强，良好的团队合作精神，抗压能力强； 
4. 自我驱动强，善于主动思考和总结，良好沟通能力和影响他人的能力； 
5. 有互联网行业法务工作经验或熟悉知识产权、不正当竞争、数据保护等领域优先。
"
TEG13-数据挖掘工程师,技术类,3,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=31324&keywords=&tid=0&lid=0,"1. 岗位职责：
2. 负责建设用户安全画像，并挖掘恶意用户中的团伙、产业链关系，辅助解决UGC业务的内容安全问题；
3. 利用机器学习和数据挖掘等相关技术，持续挖掘海量用户数据的价值。
","1. 岗位要求：
2. 硕士以上学历，三年以上工作经验，扎实的数据结构及算法功底，优秀的工程实现能力；
3. 熟悉分类、聚类、回归、图计算等机器学习算法，丰富的算法应用经验；
4. 熟悉海量数据处理和并行计算开发，如Spark、Hadoop、Storm；
5. 熟悉Linux开发环境，精通C/C++/python/java中至少一种编程语言。
"
MIG07-安全技术高级工程师（深圳）,技术类,2,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=31094&keywords=&tid=0&lid=0,"1. 分析行业热点安全事件，制定解决方案并面向企业安全客户端部署实施；
2.  应急处理企业安全问题，提供安全建议，总结并完善客户端产品；
3.  负责apt等高级威胁的分析和防控方案。
","1. 熟练使用ida，ollydbg等逆向工具；
2. 熟悉各类黑产攻击方式和应对策略，有深入分析漏洞利用/病毒/数据安全等一种或多种领域经验；
3. 3年以上企业安全行业工作经验，熟悉企业安全产品功能架构，能分析行业定制相应产品策略；
4.  有apt攻防经验者优先。
"
22851-腾讯视频王者荣耀频道社区运营（北京）,内容编辑类,2,北京,2017-08-22,http://hr.tencent.com/position_detail.php?id=31089&keywords=&tid=0&lid=0,"1. 围绕王者荣耀频道制定的运营目标，制定与执行运营方案与计划 ；
2. 分析、监控社区产品运营过程，分析相关数据，对运营结果负责 ；
3. 与团队紧密配合，完成项目社区推广活动 ；
4. 围绕产品特质及外部合作需求，规划并维护相应的运营模式。
","1. 具有1-3年互联网社区工作经验，3年以上互联网行业工作经验； 
2. 熟悉SNS社区产品及市场发展，热爱互联网事业，理解用户需求； 
3. 扎实的文字功底，出色的书面表达能力，善于捕捉有价值的宣传内容； 
4. 头脑冷静，思维成熟，对社会流行元素敏感，善于发掘产品潜在卖点。
5. 掌握一定的用户研究方法，具备一定的数据分析基础；
6. 工作主动积极，认真负责，团队合作精神良好，抗压能力强。
"
MIG18-众创空间市场项目经理（上海）,市场类,1,上海,2017-08-22,http://hr.tencent.com/position_detail.php?id=31144&keywords=&tid=0&lid=0,"1. 以项目管理形式，负责腾讯众创空间重点项目的方案策划，宣传推广，活动执行等；
2. 能熟练运用各种传播手段树立并提升项目的影响力，确保项目宣传推广按计划执行；
3. 组织和深度参与众创空间项目的创意策划及宣传会议；
4. 与合作伙伴对接，进行策略合作、品牌谈判、落地执行及结合评估，建立并维护双方长期、深入、全方位的合作伙伴关系。
","1. 工作要求：
2. 新闻、市场营销、广告策划、创业服务等相关专业本科以上学历，有三年以上相关工作经验；
3. 具有良好的文案撰写能力，活动策划执行推广能力；
4. 具备较强的组织能力、协调能力和资源整合力，有较强的执行能力；
5. 个性开朗，既能够独立跟进项目，亦有团队合作精神，抗压能力突出。
"
22989-高级图像处理算法工程师（北京）,技术类,1,北京,2017-08-22,http://hr.tencent.com/position_detail.php?id=31133&keywords=&tid=0&lid=0,"1. 负责腾讯图片云业务图像处理相关功能的设计、研发及优化。
","1. 三年以上工作经验，模式识别,计算机视觉,图像处理，机器学习等计算机相关专业，本科以上学历； 
2. 熟练掌握计算机视觉和图像处理相关的基本算法及应用；
3. 熟练掌握C++、Python、Java等至少一门语言，熟悉linux开发环境；
4. 熟练掌握opencv\imageMagic\GIMP其中一种，有一定的软件开发工程经验； 
5. 优秀的分析问题和解决问题的能力，勇于接受挑战；
6. 在计算机视觉、模式识别等国际顶级会议或者期刊上发表论文、相关国际比赛获奖、及有相关专利者优先。
"
MIG09-知识图谱应用产品经理,产品/项目类,1,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=32227&keywords=&tid=0&lid=0,"1. 根据浏览器内容业务场景，规划知识图谱的领域建设，并推动业务落地，提升业务的体验，
2. 如：问答场景、搜索场景、相关推荐、基于知识图谱的内容消费等
","1. 1、5年以上工作经验，有知识图谱应用相关工作经验优先
2. 2、对移动互联网行业有比较深入的了解，能够敏锐的把握和发现用户的需求
3. 3、具备较强的团队协作能力和沟通能力，思维活跃，学习能力强
"
15573-SLG手游高级策划（上海）,产品/项目类,2,上海,2017-08-22,http://hr.tencent.com/position_detail.php?id=32236&keywords=&tid=0&lid=0,"1. 负责游戏的整体规划和设计，包括系统的框架搭建、方案设计、制作跟进、测试验证、上线效果跟进及调整优化；
2. 研究细分游戏市场，分析游戏数据，理解成功的关键并找到适合游戏的发展方向；
3. 产品上线后各项游戏运营数据的分析总结，输出分析报告，并用以指导项目后续的开发。
","1. 本科及以上学历，5年以上SLG游戏研发经验，热爱游戏，对大型网络游戏的数值体系有一定研究；
2. 具备优秀的逻辑思维能力，细致的工作态度，良好的团队精神以及沟通协调能力；
3. 至少参与过一款已运营SLG网络游戏项目的策划工作；
4. 具备良好的沟通表达能力，具备良好的抗压能力，吃苦耐劳。
"
14914-品牌营销经理（深圳）,市场类,2,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=17441&keywords=&tid=0&lid=0,"1. 负责腾讯集团品牌的品牌策略制定，以及大型营销项目的策划、创意输出和执行； 
2. 负责整合公司内、外营销资源，推进年度营销计划实施落地；
","1. 本科及以上学历； 
2. 5年以上品牌管理工作经验，品牌意识强，具有出色提案能力和沟通技巧，有大型策划实操经验及成功品牌策划案例，具有出色的品牌策略能力及整合传播技巧； 
3. 良好的团队意识以及执行能力，勇于承担高强度的工作压力； 
4. 思维活跃，善于学习和提升自我，具有创新精神； 
5. 对互联网行业有激情且有一定了解； 
6. 有知名消费品公司品牌管理经验或4A广告公司品牌策划经验者优先；
7. 英语可做为工作语言。
"
MIG03-腾讯Android开发工程师（深圳）,技术类,1,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=26520&keywords=&tid=0&lid=0,"1. 负责应用宝客户端代码的质量把控相关开发工作：
2. （1）搭建客户端单元测试框架；
3. （2）结合客户端代码进行代码分析和白盒测试；
4. （3）对客户端现有架构进行梳理和分析，发掘架构存在的问题，推动开发优化，提升可测性；
5. （4）负责客户端监控相关的平台工具开发；
","1. 本科以上学历，计算机相关专业；
2. 3年以上的Android应用程序开发经验；
3. 精通常用数据结构与算法，熟悉面向对象开发和设计，基础扎实；
4. 熟悉TCP/IP和无线通讯协议；
5. 有C/C++、java、python、shell其中二到三种语言的开发经验；
6. 具备良好的学习能力和问题定位和分析能力；
7. 具备创新性思维、较强的抗压能力和良好的沟通能力；
8. 有丰富单元测试经验 ,有测试驱动开发经验者优先；
"
SA-腾讯社交广告微信公众号广告运营经理（深圳）,产品/项目类,3,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=27319&keywords=&tid=0&lid=0,"1. 负责微信公众号广告运营，提升微信广告收入，构建健康可持续的广告生态结构；
2. 规划并统筹广告运营相关工作，职责包括为核心广告主提供投放服务，构建整体客户服务和运营管理规范，打造各类目和行业标杆案例，建立微信广告行业解决方案，推动内外部渠道合作和市场推广等；
3. 基于运营和广告主需求，协助并推动微信广告产品、投放系统、运营工具等建设；
","1. 本科及以上学历；
2. 熟悉互联网广告行业，对广告商业化业务有深刻见解和热情；
3. 具有较强的系统思考能力、学习能力、沟通能力和执行力，责任心和团队合作精神出众；
4. 具有较强的数据分析和文案能力；
5. 熟悉互联网广告行业，对广告商业化业务有热情，有自媒体运营、电商客户运营相关经验者优先；具备大型电商企业运营、知名国际广告公司相关工作经验者优先；
"
20718-VR算法高级工程师,技术类,1,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=32233&keywords=&tid=0&lid=0,"1. 负责VR算法相关技术研发
2. 包括6dof Pose Tracking、Sensor Fusion、Vsion SLAM、SFM等技术的探索和研发，为VR产品提供算法支持
","1. 硕士以上学历，2年以上工作经历
2. 计算机视觉或者图像处理、模式识别、机器人技术、图形学等相关专业，重点实验室的博士生优先
3. 精通Matlab，C/C++， Python编程，熟练掌握CMake，GDB等工具
4. 精通OpenCV，PCL，精通常规图像处理算法
5. 熟悉Ubuntu，ROS机器人操作系统
6. 精通EKF、UKF、CF等一般Sensor Fusion算法及参数调优
7. 精通Bundle Adjustment、Graph Optimization等常用的SFM优化方法
8. 熟悉VIO一般实现方式，了解Vision-IMU融合算法
9. 至少深入了解一项开源VSLAM/VIO项目，例如MonoSLAM、PTAM、ORBSLAM、LSDSLAM、SVO、DSO等
10. 熟悉RGB-D SLAM/Odometry一般实现方式
11. 对VSLAM/VIO技术具有深刻的理解，熟悉和关注最新的领域内进展，有相关项目经验，喜欢解决挑战性问题并提出创新性想法
12. 善于分析和解决问题,具备较好的沟通表达能力和团队合作精神
13. 在ICCV, CVPR, ECCV, IROS, ICRA等领域内国际权威期刊或者顶级会议发表过paper的优先
14. 在KITTI等领域内权威数据库上提交过结果并取得优异成绩者优先
"
SA-腾讯社交广告联盟策略开发工程师（北京）,技术类,1,北京,2017-08-23,http://hr.tencent.com/position_detail.php?id=27267&keywords=&tid=0&lid=0,"1. 联盟广告系统后台质量策略研发，侧重数据分析和算法设计类开发。参加以下一到多项工作：
2. 广告大数据统计分析；
3. 广告大数据挖掘及并行机器学习算法研究与优化；
4. 广告精准定向技术的研究与优化；
5. 广告检索排序算法的研究与优化；
6. 广告转化价值衡量，基于转化价值的广告策略体系研究、应用和优化；
7. 流量质量度算法的研究和优化。
","1. 3年以上互联网广告策略研发经验；
2. 计算机相关专业本科以上学历， 博士优先；
3. 具有扎实的数据结构和算法功底，精通C++，熟悉Java、Scala、Python更好；
4. 熟悉Linux操作系统和开发环境；
5. 有较强学习能力和逻辑思维能力，具备良好的问题分析与解决能力；
6. 善于沟通，工作积极主动，责任心强，具备良好的团队协作能力；
7. 有海量数据处理和并行计算开发经验，熟悉Hadoop、Storm、Spark等技术者优先。
"
SNG02-Web前端开发工程师（深圳）,技术类,1,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=27340&keywords=&tid=0&lid=0,"1. 负责腾讯视频云业务web相关的架构设计和研发；
2. 对基于视频和IM的新业务进行探索。
","1. 本科或以上学历，2年以上相关工作经验；
2. 能够熟练运用至少一款主流的JS框架构建高性能的web应用程序；
3. 熟练掌握PHP，对 数据库，缓存操作有一定的认识；
4. 具有良好的代码风格、接口设计与程序架构；
5. 思路清晰，积极主动，具备良好的沟通能力和团队协作精神。
"
23294-互娱Web应用工程师(深圳),技术类,2,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=27765&keywords=&tid=0&lid=0,"1. 负责各项目中的Web前端及PHP应用功能设计、开发和实现；
2. 高质量完成网站前端开发工作。
","1. 计算机或相关专业本科及以上学历，3年以上互联网WEB从业经验；
2. 熟练掌握LAMP（Linux、Apache/Ngnix、MYSQL、PHP、JAVA）程序开发，具有大访问量网站相关开发及调优经验；
3. 掌握至少一种PHP相关开源框架（如Zend Framework、Symfony、YII、ThinkPHP等），熟悉常用算法及设计模式；
4. 熟悉前端（JavaScript、CSS、HTML5等）程序开发；
5. 拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；
6. 具有良好的对内、对外沟通协调能力，责任心强，踏实进取，追求卓越，具有良好分析问题解决问题能力。
"
23516-二次元手游运营策划,产品/项目类,1,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=31941&keywords=&tid=0&lid=0,"1. 负责游戏筹备与正式运营阶段中，根据二次元品类游戏特色以及整体市场环境，负责市场整体计划的策略制定与落地执行、内外部市场相关的合作沟通、外部的异业合作等；同时对游戏的用户进行系统性的管理维护，对用户群体进行相应的引流沉淀，并且针对不同用户诉求规划相应的内容产出；对项目具备分析以及总结能力。
","1. 本科及以上学历；
2. 4年以上游戏行业相关工作经验，二次元资深爱好者，对该领域的文化、用户以及市场有较深的理解，具备独立进行品牌创意包装项目经验；积极主动，团队合作意识强，善于沟通及表达，能承担较强工作压力；热爱游戏，游戏经历丰富或有游戏行业相关工作经验者优先。
"
19881-海外游戏（高级）运营经理（深圳）,产品/项目类,1,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=28798&keywords=&tid=0&lid=0,"1. 负责日常游戏运营工作，负责游戏版本排期跟进及分析；
2. 具备活动运营经验，可根据游戏目前运营状况，策划有助于提升游戏运营效果的活动方案；
3. 对游戏数据有灵敏嗅觉，拥有一定数据分析能力；
4. 对目标市场进行调研，分析当地产品竞争和用户需求，对游戏的选择、推广成本分析、利润预测产出相应结论；根据目标市场特点，对选定游戏提出进行产品优化建议，以适应当地市场用户。
","1. 3年及以上手游海外运营经验，熟知游戏运营整体环节，有游戏运营负责人经验者优先；
2. 具有优秀的游戏理解力、良好的逻辑思维能力和综合管理能力；
3. 具备出色的组织协调能力和规划能力；
4. 对数据敏感，能在高压情况下将工作推行落地；
5. 具备优秀的自我驱动力、沟通能力、团队协作能力及跨部门协作推动力；
6. 有良好的英语沟通能力。
"
15851-后台开发工程师,技术类,1,深圳,2017-08-22,http://hr.tencent.com/position_detail.php?id=32218&keywords=&tid=0&lid=0,"1. 1. 负责MMORPG游戏交易监控系统开发、维护；
2. 2. 根据系统搭建文档，开发对接服务侧、游戏侧的工单管理平台P-SAP的工单接口；
3. 3. 深度挖掘游戏运营数据，根据脚本策划文档搭建数据监控体系；
4. 4. 利用爬虫技术，对游戏外第三方交易平台形成有效监控体系；
5. 5. 根据策划文档，搭建、完善并持续跟进脚本监控-打击体系；
6. 6. 配合运营人员，持续挖掘新型违规交易模式，并跟进迭代打击。
","1. 1. 本科及以上学历，3年以上工作经验；
2. 2. 优秀的Python开发能力、数据建模能力，熟悉数据挖掘算法优先；
3. 4. 与运营侧形成有效合作，开发监控系统、脚本上线，对质量负责；
4. 5. 对游戏内违规交易行为有清晰了解，具有逻辑理解能力；
5. 6. 对工作室、交易平台的违规交易行为有深入了解；
6. 7. 深度接触一款以上具有开放式交易经济系统的MMORPG游戏优先。
"
SA-腾讯社交广告KA效果广告行业运营经理（北京）,产品/项目类,2,北京,2017-08-23,http://hr.tencent.com/position_detail.php?id=29434&keywords=&tid=0&lid=0,"1. 负责电商、金融、旅游、资讯、汽车、教育、社交等行业的广告主运营，搭建行业的健康生态；
2. 行业广告主全生命周期的跟踪与服务，制定整体解决方案并严格推进；
3. 配合产品运营搭建好行业的解决方案，并不断沉淀行业打法，竖立成为行业专家；
4. 协调组织各类资源达成运营目标。
","1. 3年以上互联网产品运营经验，有商业产品运营、产品策划、行业深耕经验者优先；
2. 具备数据分析能力、沟通推进能力、产品策划能力、商业产品运营能力等；
3. 极强的工作责任心，工作细心，具有主动的学习意识，坚持原则；
4. 能适应高强度的工作节奏，勇于面对工作中的压力与挑战；
5. 有较强的分析能力、有关注细节及项目管理能力；
6. 学习能力和写作能力强、思维活跃、领悟力强，接受新事物能力强；
7. 工作主动积极，能承受一定工作压力；
8. 本科及以上学历。
"
18797-后台开发工程师（深圳）,技术类,1,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=29481&keywords=&tid=0&lid=0,"1. 负责移动端平台模块以及游戏赛事模块的开发和维护、优化工作;
2. 负责通用组件的开发、维护和优化工作。
","1. 本科及以上学历；
2. 3年以上相关工作经验；
3. 熟悉linux/unix等操作系统，具备扎实的unix环境编程能力；
4. 熟悉c/c++语言并具备丰富的编程经验和调试经验；
5. 熟悉网络编程并有相关的开发经验；
6. 良好的沟通能力和团队协作能力；
7. 熟悉web前后端相关技术更佳。
"
TEG06-高级云计算架构师（深圳）,技术类,2,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=28795&keywords=&tid=0&lid=0,"1. 负责云计算平台的架构设计、功能优化、故障分析等工作；
2. 负责OpenStack技术预研和攻关工作，跟进社区技术路线；
3. 结合腾讯PaaS、SaaS以及政企行业已有能力进行整体规划设计，完善云平台PaaS和SaaS能力。
","1. 全日制本科及以上学历，有大规模OpenStack研发及部署经验，有3年以上openstack编程经验；
2. 熟悉OpenStack架构及各组件原理，热衷于OpenStack社区新技术的学习和运用，把握技术发展趋势；
3. 熟悉OpenStack社区代码开发流程，具有开发经验，有社区贡献经验者优先；
4. 熟悉计算虚拟化技术, 精通KVM等相关技术；
5. 熟悉各类存储技术, 包括Ceph，超融合存储等；
6. 熟悉SDN相关技术, 包括VxLAN, OVS，DPDK等；
7. 精通Linux系统, 掌握Python语言, 有5年以上开发经验者优先；
8. 了解Cloud Foundry、容器（Docker）、DevOps、大数据（Hadoop, Spark）等技术者优先。
"
MIG07-项目经理（深圳）,产品/项目类,1,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=28713&keywords=&tid=0&lid=0,"1. 负责项目资源的协调与组织，确保项目团队各干系人协同工作；
2. 负责项目计划的制定、跟踪和维护，确保项目按计划完成；
3. 负责组织项目各项评审会议及项目例会；
4. 制定并推广项目流程规范，确保项目有序推进；
5. 及时发现并跟踪解决项目问题，有效管理项目风险；
6. 负责团队的敏捷改造和持续集成建设。
","1. 计算机、通信或相关专业本科以上学历；
2. 至少2~3年在互联网、软件或IT相关领域技术开发经验；
3. 至少2~3年软件项目管理经验；
4. 精通软件项目过程管理，对CMM，RUP，敏捷项目管理等有实际应用经验；
5. 较强的文档撰写能力，及各类报告处理能力；
6. 具有良好的执行力和责任心，能推动项目团队朝目标前进；
7. 具有丰富的与人沟通、交流和组织能力，出色的团队合作精神；
8. 熟悉客户端软件研发流程经验的优先考虑。
"
23671-高级前端广告工程师 （深圳）,技术类,2,深圳,2017-08-23,http://hr.tencent.com/position_detail.php?id=31165&keywords=&tid=0&lid=0,"1. 负责快报商业化系统的前端开发工作，要求开发的系统具有高性能和高可靠性；
2. 负责应用javascript和相关技术与后台进行交互通信；
3. 负责pc web和手机HTML5前端系统分析、优化与架构工作。
","1. 本科及以上学历，计算机相关专业，3年以上相关工作经验；
2. 精通javascript、HTML语法，有一定的跨浏览器开发调试经验；
3. 熟悉http协议，具备web性能优化经验和web安全知识，能独立完成html、css的页面制作、具备了好的css功底，熟悉flash及flashaction优先，具有SEO经验优先；具有成功的互联网应用软件开发经历优先，对服务端开发(cgi、asp、net、php、jsp)熟悉并具有linux等相关平台下开发经验者优先；
4. 对Web标准和兼容性有良好认识，能够高保真还原设计稿，具备良好的代码风格以及接口、架构设计能力；
5. 具备良好的责任心与工作激情，团队合作能力强；熟悉NodeJs服务端开发并具有linux等相关平台下开发经验者优先。
"
